Anchor,Ranging,Duration,x,y,z,
An0051,89,3.181465149,658.5,0,120,
An0054,755,3.181465149,658.5,0,120,
An0015,800,3.181465149,658.5,0,120,
An0014,975,3.181465149,658.5,0,120,
An0051,90,3.693116426,658.5,45.7,120,
An0054,756,3.693116426,658.5,45.7,120,
An0015,800,3.693116426,658.5,45.7,120,
An0014,975,3.693116426,658.5,45.7,120,
An0015,521,6.77806282,658.5,365.6,120,
An0014,645,6.77806282,658.5,365.6,120,
An0054,886,6.77806282,658.5,365.6,120,
An0030,940,6.77806282,658.5,365.6,120,
An0015,518,7.289458752,658.5,411.3,120,
An0014,633,7.289458752,658.5,411.3,120,
An0054,824,7.289458752,658.5,411.3,120,
An0030,940,7.289458752,658.5,411.3,120,
An0015,485,7.803219557,658.5,457,120,
An0014,608,7.803219557,658.5,457,120,
An0054,824,7.803219557,658.5,457,120,
An0030,940,7.803219557,658.5,457,120,
An0015,318,9.340820313,658.5,594.1,120,
An0014,413,9.340820313,658.5,594.1,120,
An0030,811,9.340820313,658.5,594.1,120,
An0054,913,9.340820313,658.5,594.1,120,
An0015,294,9.841300011,658.5,639.8,120,
An0014,404,9.841300011,658.5,639.8,120,
An0030,811,9.841300011,658.5,639.8,120,
An0054,941,9.841300011,658.5,639.8,120,
An0015,294,10.34189153,658.5,685.5,120,
An0014,404,10.34189153,658.5,685.5,120,
An0030,790,10.34189153,658.5,685.5,120,
An0054,941,10.34189153,658.5,685.5,120,
